,,,,
L.p.,Numer dekoru,Nazwa dekoru,Struktura,(2800x2100x18mm)
,,,,
,,,,
,,,,netto/brutto
1,PD7001,AKACJA,LN,322
2,PU1203,ANTRACYT,MT,300
3,PD7088,ART DECO,SG,363
4,PU1201,BAZALT,SG,320
5,PU1502,BEŻ,SG,300
6,PU1513,BEŻ JASNY,SG,322
7,PB0071,BIAŁY KRYSZTAŁ,SO,300
8,PB0100,BIEL KREDOWA,SG,343
9,PB0050,BIEL PERŁOWA,MA / MT,300
10,PB0011,BIEL UNIWERSALNA,MA,300
11,PU2001,BŁĘKIT CIEMNY,SG,308
12,PU2008,BŁĘKIT PÓŁNOCNY,SG,362
13,PD7000,BUK NORWESKI,LN,308
14,PU2402,CEGLANY,SG,391
15,PU1514,CIEMNY BEŻ,SG,391
16,PU1001,CZARNY ONYX,MT,300
17,PF8026,DARK CANVAS,SG,332
18,PD3012,DĄB AMERYKAŃSKI,LN,300
19,PD3016,DĄB ARTISAN,PU,300
20,PD3102,DĄB BALTIC DUNE,RW,322
21,PD3103,DĄB BALTIC ICE,RW,322
22,PD3104,DĄB BALTIC STORM,RW,322
23,PD3119,DĄB BALTIC SZARY,RW,322
24,PD3100,DĄB CARPENTER COFFEE,RW,322
25,PD3121,DĄB CARPENTER JASNY,RW,322
26,PD3101,DĄB CARPENTER WHISKEY,RW,322
27,PD3114,DĄB DUNIN,PU,322
28,PD3030,DĄB ELEGANCKI,PU,332
29,PD3089,DĄB GAJA,WP,322
30,PD3004,DĄB GÓRSKI SZARY,LN,308
31,PD3051,DĄB GRAND NATURALNY,VT,308
32,PD3053,DĄB KARMEL,PU,332
33,PD3122,DĄB KLASYCZNY,RW,322
34,PD3128,DĄB KOPENHAGA,LN,343
35,PD3023,DĄB LANCELOT,VT,300
36,PD3018,DĄB LINDBERG,LN,300
37,PD3036,DĄB LUCIANO,PU,308
38,PD3099,DĄB LUMBERJACK FROST,RW,322
39,PD3098,DĄB LUMBERJACK SAND,RW,322
40,PD3097,DĄB LUMBERJACK SMOKE,RW,322
41,PD3117,DĄB MILLENIUM,WP,343
42,PD3118,DĄB MILLENIUM SZARY,WP,343
43,PD3037,DĄB OLEJOWANY,PU,308
44,PD3077,DĄB SCANDI,WP,332
45,PD3000,DĄB SONOMA,LN,300
46,PD3001,DĄB TAJGA,LN,300
47,PD3071,DĄB VIKING,LN,332
48,PD3111,DĄB VIKING CIEPŁY,LN,332
49,PD3095,DĄB WINDMILL DARK,RW,322
50,PD3094,DĄB WINDMILL GOLD,RW,322
51,PD3096,DĄB WINDMILL PALE,RW,322
SO - soft  MA - matt  MT - molet  SG - soft grain  LN - nordic wood  VT - vintage wood  PU - pure wood  RW - raw wood   CW - classic wood  WP - wood print,,,,
,,,,
,,,,
,,,,
L.p.,Numer dekoru,Nazwa dekoru,Struktura,(2800x2100x18mm) brutto
,,,,
,,,,
,,,,netto/brutto
52,PD3033,DĄB WOTAN,LN,300
53,PU2207,EUKALIPTUS,SG,331
54,PU1002,GŁĘBOKA CZERŃ,SG,308
55,PU1211,GRAFIT,MT,300
56,PF8009,INOX,SG,342
57,PF8030,INOX BEŻ,SG,391
