element,typ_rysunku,lokalizacja_na_rysunku,jak_odczytac,format_danych,przykład,dodatkowe_informacje
"Wymiar pomieszczenia","Rzut poziomy","Linie wymiarowe na zewnątrz obrysu pomieszczenia","Szukaj linii z grotami strzałek i wartościami liczbowymi w cm lub m","Liczba x Liczba (szerokość x długość)","450 x 380 (cm) lub 4.5 x 3.8 (m)","Jeśli jednostka nie jest podana, domyślnie cm. Suma wymiarów częściowych musi równać się wymiarowi ogólnemu"
"Grubość ściany","Rzut poziomy","Odległość między równoległymi liniami oznaczającymi ścianę","Zmierz lub odczytaj wymiar między liniami obrysu ściany","Liczba w cm","12, 20, 25","Ściana działowa: 10-12 cm, konstrukcyjna: 20-25 cm, pustak: 24-25 cm"
"Drzwi - wymiar","Rzut poziomy","Otwór w ścianie z łukiem pokazującym otwarcie","Odczytaj wymiar szerokości otworu, wysokość zazwyczaj w rozwinięciu lub w legendzie","Szerokość x Wysokość","80 x 200, 90 x 200","Standard: 70, 80, 90 cm szerokości, 200 cm wysokości"
"Drzwi - kierunek otwierania","Rzut poziomy","Łuk (ćwiartka okręgu) przy drzwiach","Łuk pokazuje zakres ruchu skrzydła, linia prosta to położenie otwartych drzwi","Lewe/Prawe, Do wewnątrz/Na zewnątrz","Lewe do wewnątrz","Stojąc od strony zawiasów: jeśli zawiasy po lewej - drzwi lewe"
"Okno - wymiar","Rzut poziomy i Rozwinięcie ściany","Otwór w ścianie zewnętrznej z podziałami","Odczytaj szerokość z rzutu, wysokość z rozwinięcia","Szerokość x Wysokość","120 x 140, 150 x 140","Standardy: 90x120, 120x140, 150x140 cm"
"Okno - typ","Rzut poziomy","Symbole strzałek w obrębie okna","Strzałki wskazują kierunek otwierania skrzydeł","Uchylne/Rozwierane/Stałe","Rozwierane jednoskrzydłowe","Brak strzałek = okno stałe (nieotwierane)"
"Wysokość pomieszczenia","Przekrój","Wymiar pionowy od podłogi do sufitu","Szukaj linii wymiarowej pionowej z wartością","Liczba w cm lub m","270, 2.70","Standardowa wysokość: 260-280 cm"
"Poziom podłogi","Rzut poziomy lub Przekrój","Oznaczenie przy poziomie odniesienia","Szukaj symbolu ±0.00 lub wartości z + lub -","±X.XX m","+0.00, -0.15, +2.50","±0.00 to poziom odniesienia (zazwyczaj parter), + wyżej, - niżej"
"Punkt świetlny sufitowy","Rzut sufitu","Symbol kółka z krzyżykiem lub kropką w środku","Zlokalizuj symbol ⊕ lub ⊙","Współrzędne X,Y od ściany","150 cm od ściany północnej, 200 cm od ściany zachodniej","⊕ = zwykła lampa, ⊙ = lampa wpuszczana, liczba obok = ilość punktów"
"Punkt świetlny ścienny","Rzut sufitu lub Rozwinięcie","Symbol kółka z krzyżykiem przy ścianie","Zlokalizuj symbol ⊗ na ścianie","Współrzędne + wysokość montażu","180 cm od narożnika, wysokość 200 cm","⊗ = kinkiet lub lampa ścienna"
"Włącznik światła","Rzut poziomy","Symbol S, W lub podobny przy ścianie","Szukaj oznaczenia S, S2 (podwójny), Sn (schodowy)","Typ + lokalizacja","S - włącznik pojedynczy przy drzwiach","Wysokość montażu standardowo 110 cm od podłogi"
"Kontakt wtykowy","Rzut poziomy","Symbol kwadraciku lub prostokąta przy ścianie","Szukaj □ (pojedynczy) lub □□ (podwójny)","Typ + ilość + lokalizacja","Podwójny kontakt przy biurku","Wysokość montażu standardowo 30 cm od podłogi"
"Gniazdo RJ45 (internet)","Rzut poziomy","Symbol lub oznaczenie RJ45, LAN","Szukaj tekstu RJ45 lub symbolu sieci","Lokalizacja","RJ45 przy biurku","Często grupowane z kontaktami elektrycznymi"
"Gniazdo TV/SAT","Rzut poziomy","Symbol lub oznaczenie TV, SAT","Szukaj tekstu TV lub symbolu anteny","Lokalizacja","TV przy ścianie za telewizorem","Wysokość ~100-120 cm lub za szafką RTV"
"Obwód elektryczny","Rzut sufitu","Linie łączące włączniki z lampami","Śledź linię od włącznika do punktów świetlnych","Połączenia między elementami","Włącznik S1 steruje lampami L1, L2, L3","Linia ciągła = przewód w podłodze, przerywana = w suficie"
"Umywalka","Rzut poziomy","Symbol U lub zarys umywalki","Szukaj owalnego/prostokątnego symbolu z oznaczeniem U","Typ + wymiary","Umywalka wpuszczana 60x45 cm","Zwróć uwagę na lokalizację baterii (CW/ZW)"
"Wanna","Rzut poziomy","Prostokątny zarys z oznaczeniem W","Szukaj prostokąta z symbolem wanny","Wymiary","170 x 75 cm, 180 x 80 cm","Sprawdź kierunek syfonu i baterii"
"Prysznic","Rzut poziomy","Kwadratowy/prostokątny zarys z oznaczeniem P lub deszczownią","Szukaj kwadratu z symbolem P lub natrysku","Wymiary kabiny","90 x 90, 100 x 100, 120 x 80","Sprawdź lokalizację odpływu i typu kabiny (narożna/wnękowa)"
"WC (muszla klozetowa)","Rzut poziomy","Symbol WC lub charakterystyczny owalny kształt","Szukaj symbolu WC","Typ + odległość od ściany","WC podwieszane, 50 cm od ściany bocznej","Sprawdź czy podwieszane czy stojące, lokalizację spłuczki"
"Punkt wody zimnej","Rzut poziomy lub Instalacje","Symbol ZW z zaworem","Szukaj oznaczenia ZW z symbolem zaworu","Lokalizacja + wysokość","ZW przy umywalce, wys. 55 cm","Średnica przyłącza zazwyczaj 1/2 cala"
"Punkt wody ciepłej","Rzut poziomy lub Instalacje","Symbol CW lub CWU z zaworem","Szukaj oznaczenia CW/CWU z symbolem zaworu","Lokalizacja + wysokość","CW przy umywalce, wys. 55 cm","Średnica przyłącza zazwyczaj 1/2 cala"
"Odpływ kanalizacyjny","Rzut poziomy lub Instalacje","Symbol KAN lub linia gruba z kierunkiem spadku","Szukaj oznaczeń KAN, Ø50, Ø110 ze strzałką spadku","Średnica + lokalizacja","Ø50 odpływ przy umywalce","Ø50 = umywalka/prysznic, Ø110 = WC, spadek min 2%"
"Kratka wentylacyjna wywiew","Rzut sufitu","Symbol prostokąta z kreskami i oznaczeniem WYW","Szukaj symbolu z krekami i strzałką lub WYW","Wymiary + lokalizacja","Kratka 15x15 cm, wywiew w łazience","WYW = wywiew (wyciąg), NAW = nawiew"
"Kratka wentylacyjna nawiew","Rzut sufitu","Symbol prostokąta z kreskami i oznaczeniem NAW","Szukaj symbolu z kreskami i strzałką lub NAW","Wymiary + lokalizacja","Kratka 20x20 cm, nawiew w salonie","Kierunek kratek wskazuje kierunek przepływu powietrza"
"Grzejnik/kaloryfer","Rzut poziomy lub Rozwinięcie","Symbol żeberek lub prostokąta przy ścianie","Szukaj symbolu żeberek lub oznaczenia RAD","Wymiary + moc","Grzejnik 120x60 cm, 1500W","Sprawdź lokalizację zaworów (dolne/boczne podłączenie)"
"Szafka kuchenna dolna","Rzut poziomy meblowania","Prostokąt z ozn. wymiarów i podziałami wewnętrznymi","Odczytaj wymiar szerokości modułu","Szerokość modułu","D60 (dolna 60 cm), D80, D45","Standard: 60 cm głębokość, 85-90 cm wysokość z blatem"
"Szafka kuchenna górna","Rzut poziomy lub Rozwinięcie","Prostokąt zazwyczaj liniami przerywanymi","Odczytaj wymiar szerokości modułu i wysokość montażu","Szerokość + wysokość montażu","G80 (górna 80 cm), montaż 140 cm od podłogi","Standard: 30-35 cm głębokość, montaż 50-60 cm nad blatem"
"Blat kuchenny","Rzut poziomy","Ciągła linia obrysu strefy roboczej","Zmierz długość i szerokość blatu","Długość x szerokość x grubość","300 x 60 x 3 cm","Standardowa szerokość: 60 cm, grubość 2-4 cm"
"Zlewozmywak","Rzut poziomy","Zarys komór z ozn. ZM lub symbol","Odczytaj ilość komór i wymiary","Typ + wymiary","Zlewozmywak 1-komorowy 50x60 cm","Sprawdź lokalizację baterii i odsączarki"
