Cennik blum - LISTOPAD 2025,,,,,,,,,
przy kursie 1 EUR =  4.25 PLN,,,,,,,,,
,,,,,,,,,
"Podane ceny mają wyłącznie charakter rekomendacji i nie są w żaden sposób wiążące dla kontrahentów, którzy posiadają swobodę w kształtowaniu swojej polityki cenowej.",,,,,,,,,
Przy zawieraniu i realizacji umów sprzedaży między Blum a Kupującym stosuje się Ogólne Warunki Handlowe Blum dostępne pod adresem http://www.blum.com,,,,,,,,,
,,,,,,,,,
Grupa,Symbol,Numer identyfikacyjny,Cena za,Cena PLN za 1 szt.,Min. Zamówienie,Waga [kg] za 1000 szt.,ilość na palecie [szt],Kod EAN,Opis produktu
COMPACT, 38B355AF22MB+138F01B  NI,01669290,1,"11,48",250,"321,8",12 000,9009494212099,"Zawias COMPACT, 1 3/8"" lub większy"", 107°, ze sprężyną, prowadnik: na wkręty, puszka: na wkręty, niklowany"
CLIP 100, 70M2550.TLMB     V50  NI,07656443,1,"3,40",50,"66,796",6 000,9002617694512,"CLIP zawias standard. 100°, Drzwi nakładane, bez sprężyny, puszka: na     wkręty+niklowany*P/U: 50/250"
CLIP 100, 70M2580.TLMB     V50  NI,07656503,1,"3,74",250,"69,536",6 000,9002617694604,"CLIP zawias standard. 100°, Drzwi nakładane, bez sprężyny, puszka:     wciskana+niklowany*P/U: 50/250"
CLIP 100, 70M2650.TLMB     V50  NI,07656873,1,"4,04",50,"69,056",6 000,9002617694659,"CLIP zawias standard. 100°, Drzwi bliźniacze, bez sprężyny, puszka: na     wkręty+niklowany*P/U: 50/250"
CLIP 100, 70M2750.TLMB     V50  NI,07657763,1,"4,04",50,"69,616",6 000,9002617694680,"CLIP zawias standard. 100°, Drzwi wpuszczane, bez sprężyny, puszka: na     wkręty+niklowany*P/U: 50/250"
CLIP 100, 70M2780.TLMB     V50  NI,07657093,1,"4,38",2 000,"72,356",6 000,9002617694697,"CLIP zawias standard. 100°, Drzwi wpuszczane, bez sprężyny, puszka:     wciskana+niklowany*P/U: 50/250"
CLIP 100, 71M2550   MB    V250  NI,03281399,1,"3,10",250,"64,612",10 000,9009494423419,"CLIP zawias standard. 100°, Drzwi nakładane, puszka: na     wkręty+niklowany*P/U: 250"
CLIP 100, 71M2580   MB    V250  NI,03389589,1,"3,44",250,"67,352",10 000,9009494470314,"CLIP zawias standard. 100°, Drzwi nakładane, puszka:     wciskana+niklowany*P/U: 250"
CLIP 100, 71M258E   MB    V250  NI,01467743,1,"3,44",250,"67,991",8 000,9002617305968,"CLIP zawias standard. 100°, Drzwi nakładane, puszka:     EXPANDO+niklowany*P/U: 250"
CLIP 100, 71M2650   MB    V250  NI,07979793,1,"3,70",250,"67,145",8 000,9002617181869,"CLIP zawias standard. 100°, Drzwi bliźniacze, puszka: na     wkręty+niklowany*P/U: 250"
CLIP 100, 71M2680   MB    V250  NI,07979953,1,"4,04",250,"69,885",8 000,9002617181883,"CLIP zawias standard. 100°, Drzwi bliźniacze, puszka:     wciskana+niklowany*P/U: 250"
CLIP 100, 71M2750   MB    V250  NI,01984053,1,"3,74",250,"67,705",8 000,9002617341324,"CLIP zawias standard. 100°, Drzwi wpuszczane, puszka: na     wkręty+niklowany*P/U: 250"
CLIP 100, 71M278E   MB    V250  NI,02087293,1,"4,08",250,"70,839",8 000,9002617348064,"CLIP zawias standard. 100°, Drzwi wpuszczane, puszka:     EXPANDO+niklowany*P/U: 250"
CLIP 110, 71B3550   MB    V250  NI,08884623,1,"9,99",250,"73,622",8 000,9002617767988,"CLIP top BLUMOTION zawias standard. 110°, Drzwi nakładane, puszka: na     wkręty+niklowany*P/U: 250"
CLIP 110, 71B3550   MB    V250 ONS,02550728,1,"11,14",250,"73,612",8 000,9009494201673,"CLIP top BLUMOTION zawias standard. 110°, Drzwi nakładane, puszka: na     wkręty+czarny*P/U: 250"
